sample_cd,country_cd,province_cd,district_cd,district_nm,municipality_PT_nm,locality_nm,location_nm,sampling_site_cd,latitude,longitude,altitude,sampling_date_b,sampling_date_e,method_cd,collector_nm,species_cd,species_nm_full,mm,ff,ID_doubtful?,coll_position_cd,identified_by,identified_date,collection cd,preservation_method_cd,remarks_spm
PT/2010/056/RA,PT,Algarve,PT-08,Faro,Silves,São Marcos da Serra,Ribeira de Odelouca,-,"37°20'01.16""","8°24'20.63""",100,2010-09-27T22:00:00Z,2010-09-28T22:00:00Z,YPT,Pedro Andrade,ACRONIGE,"Acropsilus niger (Loew, 1869)",1,3,false,RC/PAL/19/1867,Marc Pollet,2011-12-04T23:00:00Z,MAPC,W,
PT/2009/011/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes,Parque Biológico de Gaia (PBG),-,"41°05'57.9""","8°33'35.0""",60,2009-09-05T22:00:00Z,2009-09-05T22:00:00Z,SW,Rui Andrade,ACRONIGE,"Acropsilus niger (Loew, 1869)",0,1,false,RC/PAL/19/1867,Marc Pollet,2011-10-07T22:00:00Z,MAPC,W,
PT/2010/029/RA,PT,Algarve,PT-08,Faro,Silves,São Marcos da Serra,Ribeira de Odelouca,-,"37°20'01.16""","8°24'20.63""",100,2010-09-23T22:00:00Z,2010-09-25T22:00:00Z,YPT,Pedro Andrade,ACRONIGE,"Acropsilus niger (Loew, 1869)",0,1,false,RC/PAL/19/1867,Marc Pollet,2011-12-04T23:00:00Z,MAPC,W,
PT/2010/034/RA,PT,Algarve,PT-08,Faro,Silves,São Marcos da Serra,Ribeira de Odelouca,-,"37°20'01.16""","8°24'20.63""",100,2010-09-29T22:00:00Z,2010-10-01T22:00:00Z,YPT,Pedro Andrade,ACRONIGE,"Acropsilus niger (Loew, 1869)",1,0,false,RC/PAL/19/1867,Marc Pollet,2011-12-04T23:00:00Z,MAPC,W,
PT/2013/008/RA,PT,Trás-os-Montes e Alto Douro,PT-17,Vila Real,Mondim de Basto,Ermelo,Varzigueto,-,"41°22'44.0""","7°51'14.4""",750,,2013-06-24T22:00:00Z,SW,Rui Andrade,ACRONIGE,"Acropsilus niger (Loew, 1869)",1,0,false,RC/PAL/31/3035,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2013/010/RA,PT,Minho,PT-16,Viana do Castelo,Ponte da Barca,Entre Ambos-os-Rios,-,-,"41°49'12.6""","8°19'18.4""",80,,2013-08-07T22:00:00Z,SW,Rui Andrade,ACRONIGE,"Acropsilus niger (Loew, 1869)",0,1,false,RC/PAL/31/3028,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,checked
PT/2016/373/RA,PT,Douro Litoral,PT-13,Porto,Valongo,Valongo,Serras de Valongo,-,"41°09'33.4""","8°29'05.6""",75,,2016-06-20T22:00:00Z,SW,Rui Andrade,ACRONIGE,"Acropsilus niger (Loew, 1869)",1,0,false,RC/PAL/31/3035,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2016/001/VJ,PT,Algarve,PT-08,Faro,Vila Real de Santo António,Praia de Santo António,-,-,"37°10'07.67""","7°24'18.98""",0,,2016-08-17T22:00:00Z,HC,Valter Jacinto,ANAHCINE,"Anahydrophorus cinereus (Fabricius, 1805)",0,2,false,RC/PAL/28/2786,Marc Pollet,2016-08-29T22:00:00Z,MAPC,W,
PT/2015/412/AG,PT,Algarve,PT-08,Faro,Vila Real de Santo António,Vila Nova de Cacela,-,-,"37°09'20.5""","7°32'15.2""",1,,2015-08-19T22:00:00Z,SW,Ana Rita Gonçalves,ANAHCINE,"Anahydrophorus cinereus (Fabricius, 1805)",1,1,false,RC/PAL/31/3074,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2014/008/ADB,PT,Beira Litoral,PT-06,Coimbra,Lousã,Cerdeira,nr Quinta la Palmeira hotel,-,"40°15'30.54""","7°56'21.18""",384,,2014-05-15T22:00:00Z,SW,Anja De Braekeleer,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",0,3,false,RC/PAL/30/2968,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2009/139/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Oliveira do Douro,Parque Municipal da Lavandeira,Tradescancias,"41°07'18.4"" ","8°35'40.9""",100,2009-05-19T22:00:00Z,2009-05-19T22:00:00Z,YPT,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",0,1,false,,Marc Pollet,2012-01-10T23:00:00Z,MAPC,W,
PT/2011/057/RA,PT,Beira Litoral,PT-06,Coimbra,Lousã,Lousã (Cerdeira),-,-,"40°05'37.6""","8°11'42.4""",700,2011-07-19T22:00:00Z,2011-07-19T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",1,0,false,,Marc Pollet,2011-10-30T23:00:00Z,MAPC,W,
PT/2014/028/MP,PT,Beira Litoral,PT-06,Coimbra,Arganil,Benfeita,Caminho do Xisto da Benfeita,-,"40°12'35.8""","7°56'08.9""",613,,2014-05-17T22:00:00Z,SW,Marc Pollet,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",5,1,false,RC/PAL/30/2968,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2014/010/ADB,PT,Beira Litoral,PT-06,Coimbra,Lousã,Cerdeira,nr Quinta la Palmeira hotel,-,"40°15'30.54""","7°56'21.18""",384,,2014-05-15T22:00:00Z,SW,Anja De Braekeleer,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",0,18,false,RC/PAL/30/2968,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2011/235/RA,PT,Minho,PT-03,Braga,Terras de Bouro,Vilar da Veiga,Gerês,-,"41°44'16.7""","8°09'19.8""",500,2010-07-23T22:00:00Z,2010-07-23T22:00:00Z,HC,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",1,0,false,,Marc Pollet,2012-01-28T23:00:00Z,MAPC,W,
PT/2010/006/RA,PT,Douro Litoral,PT-13,Porto,Valongo,Valongo,Serras de Valongo,-,"41°09'33.4""","8°29'05.6""",75,2010-05-16T22:00:00Z,2010-05-16T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",3,4,false,,Marc Pollet,2011-04-26T22:00:00Z,MAPC,W,
PT/2011/239/RA,PT,Douro Litoral,PT-13,Porto,Valongo,Valongo,Serras de Valongo,-,"41°09'33.4""","8°29'05.6""",75,2010-06-29T22:00:00Z,2010-06-29T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",0,1,false,,Marc Pollet,2012-01-28T23:00:00Z,MAPC,W,
PT/2011/058/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Oliveira do Douro,Parque Municipal da Lavandeira,-,"41°07'18.4"" ","8°35'40.9""",100,2011-06-22T22:00:00Z,2011-06-22T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",0,1,false,,Marc Pollet,2011-10-30T23:00:00Z,MAPC,W,
PT/2014/029/MP,PT,Beira Litoral,PT-06,Coimbra,Arganil,Benfeita,Caminho do Xisto da Benfeita,-,"40°12'45.1""","7°56'06.0""",563,,2014-05-17T22:00:00Z,SW,Marc Pollet,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",7,1,false,RC/PAL/30/2968,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2011/024/RA,PT,Douro Litoral,PT-13,Porto,Valongo,Valongo,Serras de Valongo,-,"41°09'33.4""","8°29'05.6""",75,2011-05-11T22:00:00Z,2011-05-11T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",4,8,false,,Marc Pollet,2011-06-18T22:00:00Z,MAPC,W,
PT/2014/006/MP,PT,Beira Litoral,PT-06,Coimbra,Lousã,Cerdeira,nr Quinta la Palmeira hotel,-,"40°15'30.54""","7°56'21.18""",384,,2014-05-15T22:00:00Z,SW,Marc Pollet,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",2,0,false,RC/PAL/30/2968,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2014/009/ADB,PT,Beira Litoral,PT-06,Coimbra,Lousã,Cerdeira,nr Quinta la Palmeira hotel,-,"40°15'30.54""","7°56'21.18""",384,,2014-05-15T22:00:00Z,SW,Anja De Braekeleer,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",0,3,false,RC/PAL/30/2968,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2011/001/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes,Parque Biológico de Gaia (PBG),-,"41°05'57.9""","8°33'35.0""",60,2011-05-22T22:00:00Z,2011-05-22T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",0,2,false,,Marc Pollet,2011-06-18T22:00:00Z,MAPC,W,
PT/2011/030/RA,PT,Beira Litoral,PT-01,Aveiro,Estarreja,Canelas,Ria de Aveiro,-,"40°43'26.2""","8°33'55.4""",2.5,2011-05-09T22:00:00Z,2011-05-09T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",2,0,false,,Marc Pollet,2011-06-18T22:00:00Z,MAPC,W,
PT/2011/112/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes,Parque Biológico de Gaia (PBG),Eufórbias,"41°05'57.9""","8°33'35.0""",60,2011-04-11T22:00:00Z,2011-04-11T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",1,0,false,,Marc Pollet,2011-12-04T23:00:00Z,MAPC,W,
PT/2011/075/RA,PT,Douro Litoral,PT-13,Porto,Vila Nova de Gaia,Avintes,Parque Biológico de Gaia (PBG),-,"41°05'57.9""","8°33'35.0""",60,2011-06-19T22:00:00Z,2011-06-19T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",0,1,false,,Marc Pollet,2011-10-30T23:00:00Z,MAPC,W,
PT/2014/007/MP,PT,Beira Litoral,PT-06,Coimbra,Lousã,Cerdeira,nr Quinta la Palmeira hotel,-,"40°15'30.54""","7°56'21.18""",384,,2014-05-15T22:00:00Z,SW,Marc Pollet,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",1,86,false,RC/PAL/30/2968,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2014/005/MP,PT,Beira Litoral,PT-06,Coimbra,Lousã,Cerdeira,nr Quinta la Palmeira hotel,-,"40°15'30.54""","7°56'21.18""",384,,2014-05-15T22:00:00Z,SW,Marc Pollet,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",0,5,false,RC/PAL/30/2968,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
PT/2013/008/RA,PT,Trás-os-Montes e Alto Douro,PT-17,Vila Real,Mondim de Basto,Ermelo,Varzigueto,-,"41°22'44.0""","7°51'14.4""",750,,2013-06-24T22:00:00Z,SW,Rui Andrade,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",0,2,false,RC/PAL/30/2968,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,1f with exuvium
PT/2013/030/AG,PT,Beira Alta,PT-09,Guarda,Manteigas,São Pedro (Manteigas),Poço do Inferno,-,"40°22'21.7""","7°31'00.1""",1100,,2013-06-28T22:00:00Z,SW,Ana Rita Gonçalves,ANEPFLAV,"Anepsiomyia flaviventris (Meigen, 1824)",1,0,false,RC/PAL/30/2968,Marc Pollet,2017-01-30T23:00:00Z,MAPC,W,
