id	coverScale	project	coverTotalInPercentage	coverTreesInPercentage	coverShrubsInPercentage	coverHerbsInPercentage	coverMossesInPercentage	treeLayerHeightInMeters	shrubLayerHeightInMeters	herbLayerHeightInCentimeters	mossesIdentified
IV2013082709405366	percentage Pct-1-100	NICHE Vlaanderen		85	30	100					yes
IV2013082710342834	percentage Pct-1-100	NICHE Vlaanderen		40	60	100					yes
IV2013082711032779	percentage Pct-1-100	NICHE Vlaanderen		80	10	90					yes
IV2013082714152313	percentage Pct-1-100	NICHE Vlaanderen		90	15	80					yes
IV2013082714514868	percentage Pct-1-100	NICHE Vlaanderen				100				50	yes
IV2013082715212212	percentage Pct-1-100	NICHE Vlaanderen				100				70	yes
IV2013082716353292	percentage Pct-1-100	NICHE Vlaanderen				100				60	yes
IV2013082716532472	percentage Pct-1-100	NICHE Vlaanderen				100				75	yes
IV2013082908555841	percentage Pct-1-100	NICHE Vlaanderen		30	60	100					yes
IV2013082910203131	percentage Pct-1-100	NICHE Vlaanderen				100				85	yes
IV2013082910433382	percentage Pct-1-100	NICHE Vlaanderen				100				40	yes
IV2013082911225655	percentage Pct-1-100	NICHE Vlaanderen		50		100					yes
IV2013082911330487	percentage Pct-1-100	NICHE Vlaanderen		40		100					yes
IV2013090209080806	percentage Pct-1-100	NICHE Vlaanderen		60		100					yes
IV2013090209203892	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013090209550974	percentage Pct-1-100	NICHE Vlaanderen				100				50	yes
IV2013090210133576	percentage Pct-1-100	NICHE Vlaanderen				100				40	yes
IV2013090210281248	percentage Pct-1-100	NICHE Vlaanderen				100				20	yes
IV2013090210455479	percentage Pct-1-100	NICHE Vlaanderen		60	50	70					yes
IV2013090211105010	percentage Pct-1-100	NICHE Vlaanderen		80	50	100					yes
IV2013090211233164	percentage Pct-1-100	NICHE Vlaanderen				100				80	yes
IV2013090211495458	percentage Pct-1-100	NICHE Vlaanderen		80	30	80					yes
IV2013090212040762	percentage Pct-1-100	NICHE Vlaanderen		70	20	80					yes
IV2013090213314521	percentage Pct-1-100	NICHE Vlaanderen		90	25	80					yes
IV2013090213485211	percentage Pct-1-100	NICHE Vlaanderen		60	60	100					yes
IV2013090214041271	percentage Pct-1-100	NICHE Vlaanderen		70	20	100					yes
IV2013090214181185	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013090214414712	percentage Pct-1-100	NICHE Vlaanderen				100					yes
IV2013090214535085	percentage Pct-1-100	NICHE Vlaanderen				100				100	yes
IV2013090215262464	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013090215450634	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013090215593144	percentage Pct-1-100	NICHE Vlaanderen	100			100				60	yes
IV2013090216291448	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013090216340302	percentage Pct-1-100	NICHE Vlaanderen				100				100	yes
IV2013090308420024	percentage Pct-1-100	NICHE Vlaanderen	100	70	10	100					yes
IV2013090309360490	percentage Pct-1-100	NICHE Vlaanderen	100	70	5	90					yes
IV2013090309515867	percentage Pct-1-100	NICHE Vlaanderen	100	50	10	100					yes
IV2013090310083083	percentage Pct-1-100	NICHE Vlaanderen	100	50	10	100					yes
IV2013090310233148	percentage Pct-1-100	NICHE Vlaanderen	100							60	yes
IV2013090310371503	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013090310475285	percentage Pct-1-100	NICHE Vlaanderen	100	80		100					yes
IV2013090311033080	percentage Pct-1-100	NICHE Vlaanderen	100	65		100				90	yes
IV2013090311304826	percentage Pct-1-100	NICHE Vlaanderen	100	80		100					yes
IV2013090313093249	percentage Pct-1-100	NICHE Vlaanderen	100	10		90					yes
IV2013090313253541	percentage Pct-1-100	NICHE Vlaanderen	100	70	25	100					yes
IV2013090313404368	percentage Pct-1-100	NICHE Vlaanderen	100	60	5	100					yes
IV2013090314182128	percentage Pct-1-100	NICHE Vlaanderen	100			95	90			40	yes
IV2013090314391222	percentage Pct-1-100	NICHE Vlaanderen	100			100	40			40	yes
IV2013090314571415	percentage Pct-1-100	NICHE Vlaanderen	100			80	20			40	yes
IV2013090315195216	percentage Pct-1-100	NICHE Vlaanderen	100			100	70			30	yes
IV2013090315441514	percentage Pct-1-100	NICHE Vlaanderen	100			100	80			80	yes
IV2013090316013553	percentage Pct-1-100	NICHE Vlaanderen	100			100				30	yes
IV2013090316100935	percentage Pct-1-100	NICHE Vlaanderen	100			100				40	yes
IV2013090316382285	percentage Pct-1-100	NICHE Vlaanderen	100			100				20	yes
IV2013090508584498	percentage Pct-1-100	NICHE Vlaanderen	100			80	100			10	yes
IV2013090509280656	percentage Pct-1-100	NICHE Vlaanderen	100			40	100			40	yes
IV2013090510054604	percentage Pct-1-100	NICHE Vlaanderen	100			100	1			40	yes
IV2013090510080415	percentage Pct-1-100	NICHE Vlaanderen	100								yes
IV2013090510193924	percentage Pct-1-100	NICHE Vlaanderen	100							100	yes
IV2013090510523531	percentage Pct-1-100	NICHE Vlaanderen	100								yes
IV2013090510560045	percentage Pct-1-100	NICHE Vlaanderen	100							20	yes
IV2013090511074832	percentage Pct-1-100	NICHE Vlaanderen	100								yes
IV2013090511195846	percentage Pct-1-100	NICHE Vlaanderen	100								yes
IV2013090511264022	percentage Pct-1-100	NICHE Vlaanderen	100							110	yes
IV2013090511360634	percentage Pct-1-100	NICHE Vlaanderen	100								yes
IV2013090511452876	percentage Pct-1-100	NICHE Vlaanderen	100							100	yes
IV2013090511583306	percentage Pct-1-100	NICHE Vlaanderen	100								yes
IV2013090909190734	percentage Pct-1-100	NICHE Vlaanderen	100								yes
IV2013090909303555	percentage Pct-1-100	NICHE Vlaanderen	100								yes
IV2013090909455851	percentage Pct-1-100	NICHE Vlaanderen	55	80		55					yes
IV2013090909571378	percentage Pct-1-100	NICHE Vlaanderen					80				yes
IV2013090910143810	percentage Pct-1-100	NICHE Vlaanderen					70				yes
IV2013090910320327	percentage Pct-1-100	NICHE Vlaanderen					100			30	yes
IV2013090910523353	percentage Pct-1-100	NICHE Vlaanderen					90			40	yes
IV2013090911135698	percentage Pct-1-100	NICHE Vlaanderen					70			30	yes
IV2013090911334347	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013090911570391	percentage Pct-1-100	NICHE Vlaanderen								100	yes
IV2013090913433907	percentage Pct-1-100	NICHE Vlaanderen		40	25	100					yes
IV2013090914002638	percentage Pct-1-100	NICHE Vlaanderen								30	yes
IV2013090914144559	percentage Pct-1-100	NICHE Vlaanderen								40	yes
IV2013090914281148	percentage Pct-1-100	NICHE Vlaanderen		80		3					yes
IV2013090914412862	percentage Pct-1-100	NICHE Vlaanderen		50	1	100					yes
IV2013090914513629	percentage Pct-1-100	NICHE Vlaanderen	100			100				10	yes
IV2013090915001566	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013090915103278	percentage Pct-1-100	NICHE Vlaanderen	100			100				25	yes
IV2013090915131570	percentage Pct-1-100	NICHE Vlaanderen	100	80	80	10					yes
IV2013090915244959	percentage Pct-1-100	NICHE Vlaanderen	100	80	1	100					yes
IV2013090916001648	percentage Pct-1-100	NICHE Vlaanderen	100	80	10	100					yes
IV2013090916173322	percentage Pct-1-100	NICHE Vlaanderen	100	80	25	100					yes
IV2013090916260490	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013090916322085	percentage Pct-1-100	NICHE Vlaanderen	100	70	2	100					yes
IV2013091008531526	percentage Pct-1-100	NICHE Vlaanderen	100			100	1				yes
IV2013091009190916	percentage Pct-1-100	NICHE Vlaanderen	100			100	1				yes
IV2013091009385608	percentage Pct-1-100	NICHE Vlaanderen	100			100	1				yes
IV2013091013523934	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013091014075378	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013091014264293	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013091014433694	percentage Pct-1-100	NICHE Vlaanderen	100			95					yes
IV2013091014550635	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013091015073587	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013091015185364	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013091015334417	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013091015493090	percentage Pct-1-100	NICHE Vlaanderen	100			95					yes
IV2013091016062841	percentage Pct-1-100	NICHE Vlaanderen	100			100					yes
IV2013091016243864	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013091208585526	percentage Pct-1-100	NICHE Vlaanderen		70	40						yes
IV2013091209230447	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013091209383088	percentage Pct-1-100	NICHE Vlaanderen		80	30	40					yes
IV2013091209500778	percentage Pct-1-100	NICHE Vlaanderen		4	1						yes
IV2013091210014489	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013092408590365	percentage Pct-1-100	NICHE Vlaanderen		50	40						yes
IV2013092409234825	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013092409432649	percentage Pct-1-100	NICHE Vlaanderen		80	50						yes
IV2013092409481188	percentage Pct-1-100	NICHE Vlaanderen	80							40	yes
IV2013092411453437	percentage Pct-1-100	NICHE Vlaanderen								25	yes
IV2013092411562912	percentage Pct-1-100	NICHE Vlaanderen		40							yes
IV2013092414232724	percentage Pct-1-100	NICHE Vlaanderen		60	20						yes
IV2013092415004622	percentage Pct-1-100	NICHE Vlaanderen		50	30						yes
IV2013092415280064	percentage Pct-1-100	NICHE Vlaanderen			80					50	yes
IV2013092415460492	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013092415561030	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013092416224478	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013092416283838	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013092609001311	percentage Pct-1-100	NICHE Vlaanderen		60							yes
IV2013092609153287	percentage Pct-1-100	NICHE Vlaanderen		85							yes
IV2013092609321914	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013092609473339	percentage Pct-1-100	NICHE Vlaanderen									yes
IV2013092609561194	percentage Pct-1-100	NICHE Vlaanderen		30	5						yes
IV2013092610172241	percentage Pct-1-100	NICHE Vlaanderen		60							yes
IV2013092611045689	percentage Pct-1-100	NICHE Vlaanderen									yes
