id	measurementID	measurementType	measurementValue	measurementUnit	measurementMethod	measurementRemarks
IV2013082714514868	INBO:NICHE:MEAS:H:00008404	HerbLayerHeightInCentimeters	50	cm	estimate	mossesIdentified:yes
IV2013082715212212	INBO:NICHE:MEAS:H:00008414	HerbLayerHeightInCentimeters	70	cm	estimate	mossesIdentified:yes
IV2013082716353292	INBO:NICHE:MEAS:H:00008435	HerbLayerHeightInCentimeters	60	cm	estimate	mossesIdentified:yes
IV2013082716532472	INBO:NICHE:MEAS:H:00008436	HerbLayerHeightInCentimeters	75	cm	estimate	mossesIdentified:yes
IV2013082910203131	INBO:NICHE:MEAS:H:00008440	HerbLayerHeightInCentimeters	85	cm	estimate	mossesIdentified:yes
IV2013082910433382	INBO:NICHE:MEAS:H:00008441	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013090209550974	INBO:NICHE:MEAS:H:00008452	HerbLayerHeightInCentimeters	50	cm	estimate	mossesIdentified:yes
IV2013090210133576	INBO:NICHE:MEAS:H:00008458	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013090210281248	INBO:NICHE:MEAS:H:00008460	HerbLayerHeightInCentimeters	20	cm	estimate	mossesIdentified:yes
IV2013090211233164	INBO:NICHE:MEAS:H:00008479	HerbLayerHeightInCentimeters	80	cm	estimate	mossesIdentified:yes
IV2013090214535085	INBO:NICHE:MEAS:H:00008536	HerbLayerHeightInCentimeters	100	cm	estimate	mossesIdentified:yes
IV2013090215593144	INBO:NICHE:MEAS:H:00008558	HerbLayerHeightInCentimeters	60	cm	estimate	mossesIdentified:yes
IV2013090216340302	INBO:NICHE:MEAS:H:00008571	HerbLayerHeightInCentimeters	100	cm	estimate	mossesIdentified:yes
IV2013090310233148	INBO:NICHE:MEAS:H:00008669	HerbLayerHeightInCentimeters	60	cm	estimate	mossesIdentified:yes
IV2013090311033080	INBO:NICHE:MEAS:H:00008677	HerbLayerHeightInCentimeters	90	cm	estimate	mossesIdentified:yes
IV2013090314182128	INBO:NICHE:MEAS:H:00008696	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013090314391222	INBO:NICHE:MEAS:H:00008699	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013090314571415	INBO:NICHE:MEAS:H:00008702	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013090315195216	INBO:NICHE:MEAS:H:00008705	HerbLayerHeightInCentimeters	30	cm	estimate	mossesIdentified:yes
IV2013090315441514	INBO:NICHE:MEAS:H:00008708	HerbLayerHeightInCentimeters	80	cm	estimate	mossesIdentified:yes
IV2013090316013553	INBO:NICHE:MEAS:H:00008710	HerbLayerHeightInCentimeters	30	cm	estimate	mossesIdentified:yes
IV2013090316100935	INBO:NICHE:MEAS:H:00008712	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013090316382285	INBO:NICHE:MEAS:H:00008714	HerbLayerHeightInCentimeters	20	cm	estimate	mossesIdentified:yes
IV2013090508584498	INBO:NICHE:MEAS:H:00008782	HerbLayerHeightInCentimeters	10	cm	estimate	mossesIdentified:yes
IV2013090509280656	INBO:NICHE:MEAS:H:00008796	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013090510054604	INBO:NICHE:MEAS:H:00008801	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013090510193924	INBO:NICHE:MEAS:H:00008805	HerbLayerHeightInCentimeters	100	cm	estimate	mossesIdentified:yes
IV2013090510560045	INBO:NICHE:MEAS:H:00008814	HerbLayerHeightInCentimeters	20	cm	estimate	mossesIdentified:yes
IV2013090511264022	INBO:NICHE:MEAS:H:00008822	HerbLayerHeightInCentimeters	110	cm	estimate	mossesIdentified:yes
IV2013090511452876	INBO:NICHE:MEAS:H:00008826	HerbLayerHeightInCentimeters	100	cm	estimate	mossesIdentified:yes
IV2013090910320327	INBO:NICHE:MEAS:H:00008903	HerbLayerHeightInCentimeters	30	cm	estimate	mossesIdentified:yes
IV2013090910523353	INBO:NICHE:MEAS:H:00008907	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013090911135698	INBO:NICHE:MEAS:H:00008913	HerbLayerHeightInCentimeters	30	cm	estimate	mossesIdentified:yes
IV2013090911570391	INBO:NICHE:MEAS:H:00008921	HerbLayerHeightInCentimeters	100	cm	estimate	mossesIdentified:yes
IV2013090914002638	INBO:NICHE:MEAS:H:00008934	HerbLayerHeightInCentimeters	30	cm	estimate	mossesIdentified:yes
IV2013090914144559	INBO:NICHE:MEAS:H:00008935	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013090914513629	INBO:NICHE:MEAS:H:00008944	HerbLayerHeightInCentimeters	10	cm	estimate	mossesIdentified:yes
IV2013090915103278	INBO:NICHE:MEAS:H:00008948	HerbLayerHeightInCentimeters	25	cm	estimate	mossesIdentified:yes
IV2013092409481188	INBO:NICHE:MEAS:H:00014956	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013092411453437	INBO:NICHE:MEAS:H:00014958	HerbLayerHeightInCentimeters	25	cm	estimate	mossesIdentified:yes
IV2013092415280064	INBO:NICHE:MEAS:H:00014973	HerbLayerHeightInCentimeters	50	cm	estimate	mossesIdentified:yes
IV2013100111193434	INBO:NICHE:MEAS:H:00015456	HerbLayerHeightInCentimeters	70	cm	estimate	mossesIdentified:yes
IV2013100111422087	INBO:NICHE:MEAS:H:00015457	HerbLayerHeightInCentimeters	25	cm	estimate	mossesIdentified:yes
IV2013100112011864	INBO:NICHE:MEAS:H:00015458	HerbLayerHeightInCentimeters	35	cm	estimate	mossesIdentified:yes
IV2013100113405919	INBO:NICHE:MEAS:H:00015459	HerbLayerHeightInCentimeters	70	cm	estimate	mossesIdentified:yes
IV2013100113575625	INBO:NICHE:MEAS:H:00015460	HerbLayerHeightInCentimeters	65	cm	estimate	mossesIdentified:yes
IV2013100114182702	INBO:NICHE:MEAS:H:00015461	HerbLayerHeightInCentimeters	70	cm	estimate	mossesIdentified:yes
IV2013100114321222	INBO:NICHE:MEAS:H:00015462	HerbLayerHeightInCentimeters	35	cm	estimate	mossesIdentified:yes
IV2013100114551827	INBO:NICHE:MEAS:H:00015463	HerbLayerHeightInCentimeters	35	cm	estimate	mossesIdentified:yes
IV2013100115534244	INBO:NICHE:MEAS:H:00015467	HerbLayerHeightInCentimeters	45	cm	estimate	mossesIdentified:yes
IV2013100116381959	INBO:NICHE:MEAS:H:00015471	HerbLayerHeightInCentimeters	45	cm	estimate	mossesIdentified:yes
IV2013100310221822	INBO:NICHE:MEAS:H:00015479	HerbLayerHeightInCentimeters	140	cm	estimate	mossesIdentified:yes
IV2013100310311206	INBO:NICHE:MEAS:H:00015482	HerbLayerHeightInCentimeters	85	cm	estimate	mossesIdentified:yes
IV2013100311284287	INBO:NICHE:MEAS:H:00015491	HerbLayerHeightInCentimeters	90	cm	estimate	mossesIdentified:yes
IV2013100311385184	INBO:NICHE:MEAS:H:00015493	HerbLayerHeightInCentimeters	100	cm	estimate	mossesIdentified:yes
IV2013100311480039	INBO:NICHE:MEAS:H:00015495	HerbLayerHeightInCentimeters	120	cm	estimate	mossesIdentified:yes
IV2013100709205638	INBO:NICHE:MEAS:H:00015503	HerbLayerHeightInCentimeters	60	cm	estimate	mossesIdentified:yes
IV2013100709482773	INBO:NICHE:MEAS:H:00015505	HerbLayerHeightInCentimeters	50	cm	estimate	mossesIdentified:yes
IV2013100710184653	INBO:NICHE:MEAS:H:00015507	HerbLayerHeightInCentimeters	70	cm	estimate	mossesIdentified:yes
IV2013100710313026	INBO:NICHE:MEAS:H:00015509	HerbLayerHeightInCentimeters	60	cm	estimate	mossesIdentified:yes
IV2013100710465723	INBO:NICHE:MEAS:H:00015512	HerbLayerHeightInCentimeters	30	cm	estimate	mossesIdentified:yes
IV2013100711082331	INBO:NICHE:MEAS:H:00015514	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013100711190067	INBO:NICHE:MEAS:H:00015516	HerbLayerHeightInCentimeters	60	cm	estimate	mossesIdentified:yes
IV2013100711345848	INBO:NICHE:MEAS:H:00015522	HerbLayerHeightInCentimeters	50	cm	estimate	mossesIdentified:yes
IV2013100711482006	INBO:NICHE:MEAS:H:00015524	HerbLayerHeightInCentimeters	40	cm	estimate	mossesIdentified:yes
IV2013100713291830	INBO:NICHE:MEAS:H:00015531	HerbLayerHeightInCentimeters	60	cm	estimate	mossesIdentified:yes
IV2013100714592958	INBO:NICHE:MEAS:H:00015543	HerbLayerHeightInCentimeters	90	cm	estimate	mossesIdentified:yes
