id	basisOfRecord	occurrenceID	recordedBy	organismQuantity	organismQuantityType	occurrenceStatus	eventID	identifiedBy	taxonID	scientificName	kingdom	taxonRank	verbatimTaxonRank	scientificNameAuthorship
IV2013111213541376	HumanObservation	INBO:NICHE:00077775	Els De Bie	p2	londoScale	present	IV2013111213541376	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013111811552943	HumanObservation	INBO:NICHE:00079795	Jan Wouters	r1	londoScale	present	IV2013111811552943	Jan Wouters	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013102914314038	HumanObservation	INBO:NICHE:00076160	Els De Bie	r1	londoScale	present	IV2013102914314038	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013103109364819	HumanObservation	INBO:NICHE:00090939	Els De Bie	p1	londoScale	present	IV2013103109364819	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013110411240344	HumanObservation	INBO:NICHE:00076698	Els De Bie	p2	londoScale	present	IV2013110411240344	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013110411524063	HumanObservation	INBO:NICHE:00076749	Els De Bie	6	londoScale	present	IV2013110411524063	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013110411524063	HumanObservation	INBO:NICHE:00076744	Els De Bie	6	londoScale	present	IV2013110411524063	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013110413185010	HumanObservation	INBO:NICHE:00076769	Els De Bie	4	londoScale	present	IV2013110413185010	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013110413185010	HumanObservation	INBO:NICHE:00076772	Els De Bie	p2	londoScale	present	IV2013110413185010	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013110710505011	HumanObservation	INBO:NICHE:00077303	Els De Bie	2	londoScale	present	IV2013110710505011	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013110710505011	HumanObservation	INBO:NICHE:00077310	Els De Bie	p4	londoScale	present	IV2013110710505011	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013112111460680	HumanObservation	INBO:NICHE:00082004	Els De Bie	p1	londoScale	present	IV2013112111460680	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013112510182049	HumanObservation	INBO:NICHE:00082197	Els De Bie	r1	londoScale	present	IV2013112510182049	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013112510235741	HumanObservation	INBO:NICHE:00082225	Els De Bie	r1	londoScale	present	IV2013112510235741	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013082711032779	HumanObservation	INBO:NICHE:00048531	Els De Bie	p1	londoScale	present	IV2013082711032779	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013082711032779	HumanObservation	INBO:NICHE:00048524	Els De Bie	r2	londoScale	present	IV2013082711032779	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013082714152313	HumanObservation	INBO:NICHE:00048805	Els De Bie	p1	londoScale	present	IV2013082714152313	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013100308593004	HumanObservation	INBO:NICHE:00072562	Els De Bie	3	londoScale	present	IV2013100308593004	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013100308593004	HumanObservation	INBO:NICHE:00072556	Els De Bie	r2	londoScale	present	IV2013100308593004	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013100309415913	HumanObservation	INBO:NICHE:00072595	Els De Bie	1+	londoScale	present	IV2013100309415913	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013101410023804	HumanObservation	INBO:NICHE:00073529	Els De Bie	2	londoScale	present	IV2013101410023804	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
IV2013101410023804	HumanObservation	INBO:NICHE:00073526	Els De Bie	8	londoScale	present	IV2013101410023804	Els De Bie	INBSYS0000014100	Acer pseudoplatanus	Plantae	Species	Spp	L.
