id	coverScale	project	coverTotalInPercentage	coverTreesInPercentage	coverShrubsInPercentage	coverHerbsInPercentage	coverMossesInPercentage	treeLayerHeightInMeters	shrubLayerHeightInMeters	herbLayerHeightInCentimeters	mossesIdentified
IV2013082709405366	LondoScale	NICHE Vlaanderen		85	30	100					yes
IV2013082710342834	LondoScale	NICHE Vlaanderen		40	60	100					yes
IV2013082711032779	LondoScale	NICHE Vlaanderen		80	10	90					yes
IV2013082714152313	LondoScale	NICHE Vlaanderen		90	15	80					yes
IV2013082714514868	LondoScale	NICHE Vlaanderen				100				50	yes
IV2013082715212212	LondoScale	NICHE Vlaanderen				100				70	yes
IV2013082716353292	LondoScale	NICHE Vlaanderen				100				60	yes
IV2013082716532472	LondoScale	NICHE Vlaanderen				100				75	yes
IV2013082908555841	LondoScale	NICHE Vlaanderen		30	60	100					yes
IV2013082910203131	LondoScale	NICHE Vlaanderen				100				85	yes
IV2013082910433382	LondoScale	NICHE Vlaanderen				100				40	yes
IV2013082911225655	LondoScale	NICHE Vlaanderen		50		100					yes
IV2013082911330487	LondoScale	NICHE Vlaanderen		40		100					yes
IV2013090209080806	LondoScale	NICHE Vlaanderen		60		100					yes
IV2013090209203892	LondoScale	NICHE Vlaanderen				100					yes
IV2013090209550974	LondoScale	NICHE Vlaanderen				100				50	yes
IV2013090210133576	LondoScale	NICHE Vlaanderen				100				40	yes
IV2013090210281248	LondoScale	NICHE Vlaanderen				100				20	yes
IV2013090210455479	LondoScale	NICHE Vlaanderen		60	50	70					yes
IV2013090211105010	LondoScale	NICHE Vlaanderen		80	50	100					yes
IV2013090211233164	LondoScale	NICHE Vlaanderen				100				80	yes
IV2013090211495458	LondoScale	NICHE Vlaanderen		80	30	80					yes
IV2013090212040762	LondoScale	NICHE Vlaanderen		70	20	80					yes
IV2013090213314521	LondoScale	NICHE Vlaanderen		90	25	80					yes
IV2013090213485211	LondoScale	NICHE Vlaanderen		60	60	100					yes
IV2013090214041271	LondoScale	NICHE Vlaanderen		70	20	100					yes
IV2013090214181185	LondoScale	NICHE Vlaanderen				100					yes
IV2013090214414712	LondoScale	NICHE Vlaanderen				100					yes
IV2013090214535085	LondoScale	NICHE Vlaanderen				100				100	yes
IV2013090215262464	LondoScale	NICHE Vlaanderen	100			100					yes
IV2013090215450634	LondoScale	NICHE Vlaanderen	100			100					yes
IV2013090215593144	LondoScale	NICHE Vlaanderen	100			100				60	yes
IV2013090216291448	LondoScale	NICHE Vlaanderen	100			100					yes
IV2013090216340302	LondoScale	NICHE Vlaanderen				100				100	yes
IV2013090308420024	LondoScale	NICHE Vlaanderen	100	70	10	100					yes
IV2013090309360490	LondoScale	NICHE Vlaanderen	100	70	5	90					yes
IV2013090309515867	LondoScale	NICHE Vlaanderen	100	50	10	100					yes
IV2013090310083083	LondoScale	NICHE Vlaanderen	100	50	10	100					yes
IV2013090310233148	LondoScale	NICHE Vlaanderen	100							60	yes
IV2013090310371503	LondoScale	NICHE Vlaanderen	100			100					yes
IV2013090310475285	LondoScale	NICHE Vlaanderen	100	80		100					yes
IV2013090311033080	LondoScale	NICHE Vlaanderen	100	65		100				90	yes
IV2013090311304826	LondoScale	NICHE Vlaanderen	100	80		100					yes
IV2013090313093249	LondoScale	NICHE Vlaanderen	100	10		90					yes
IV2013090313253541	LondoScale	NICHE Vlaanderen	100	70	25	100					yes
IV2013090313404368	LondoScale	NICHE Vlaanderen	100	60	5	100					yes
IV2013090314182128	LondoScale	NICHE Vlaanderen	100			95	90			40	yes
IV2013090314391222	LondoScale	NICHE Vlaanderen	100			100	40			40	yes
IV2013090314571415	LondoScale	NICHE Vlaanderen	100			80	20			40	yes
IV2013090315195216	LondoScale	NICHE Vlaanderen	100			100	70			30	yes
IV2013090315441514	LondoScale	NICHE Vlaanderen	100			100	80			80	yes
IV2013090316013553	LondoScale	NICHE Vlaanderen	100			100				30	yes
IV2013090316100935	LondoScale	NICHE Vlaanderen	100			100				40	yes
IV2013090316382285	LondoScale	NICHE Vlaanderen	100			100				20	yes
IV2013090508584498	LondoScale	NICHE Vlaanderen	100			80	100			10	yes
IV2013090509280656	LondoScale	NICHE Vlaanderen	100			40	100			40	yes
IV2013090510054604	LondoScale	NICHE Vlaanderen	100			100	1			40	yes
IV2013090510080415	LondoScale	NICHE Vlaanderen	100								yes
IV2013090510193924	LondoScale	NICHE Vlaanderen	100							100	yes
IV2013090510523531	LondoScale	NICHE Vlaanderen	100								yes
IV2013090510560045	LondoScale	NICHE Vlaanderen	100							20	yes
IV2013090511074832	LondoScale	NICHE Vlaanderen	100								yes
IV2013090511195846	LondoScale	NICHE Vlaanderen	100								yes
IV2013090511264022	LondoScale	NICHE Vlaanderen	100							110	yes
IV2013090511360634	LondoScale	NICHE Vlaanderen	100								yes
IV2013090511452876	LondoScale	NICHE Vlaanderen	100							100	yes
IV2013090511583306	LondoScale	NICHE Vlaanderen	100								yes
IV2013090909190734	LondoScale	NICHE Vlaanderen	100								yes
IV2013090909303555	LondoScale	NICHE Vlaanderen	100								yes
IV2013090909455851	LondoScale	NICHE Vlaanderen	55	80		55					yes
IV2013090909571378	LondoScale	NICHE Vlaanderen					80				yes
IV2013090910143810	LondoScale	NICHE Vlaanderen					70				yes
IV2013090910320327	LondoScale	NICHE Vlaanderen					100			30	yes
IV2013090910523353	LondoScale	NICHE Vlaanderen					90			40	yes
IV2013090911135698	LondoScale	NICHE Vlaanderen					70			30	yes
IV2013090911334347	LondoScale	NICHE Vlaanderen									yes
IV2013090911570391	LondoScale	NICHE Vlaanderen								100	yes
IV2013090913433907	LondoScale	NICHE Vlaanderen		40	25	100					yes
IV2013090914002638	LondoScale	NICHE Vlaanderen								30	yes
IV2013090914144559	LondoScale	NICHE Vlaanderen								40	yes
IV2013090914281148	LondoScale	NICHE Vlaanderen		80		3					yes
IV2013090914412862	LondoScale	NICHE Vlaanderen		50	1	100					yes
IV2013090914513629	LondoScale	NICHE Vlaanderen	100			100				10	yes
IV2013090915001566	LondoScale	NICHE Vlaanderen	100			100					yes
IV2013090915103278	LondoScale	NICHE Vlaanderen	100			100				25	yes
IV2013090915131570	LondoScale	NICHE Vlaanderen	100	80	80	10					yes
IV2013090915244959	LondoScale	NICHE Vlaanderen	100	80	1	100					yes
IV2013090916001648	LondoScale	NICHE Vlaanderen	100	80	10	100					yes
IV2013090916173322	LondoScale	NICHE Vlaanderen	100	80	25	100					yes
IV2013090916260490	LondoScale	NICHE Vlaanderen	100			100					yes
IV2013090916322085	LondoScale	NICHE Vlaanderen	100	70	2	100					yes
IV2013091008531526	LondoScale	NICHE Vlaanderen	100			100	1				yes
IV2013091009190916	LondoScale	NICHE Vlaanderen	100			100	1				yes
IV2013091009385608	LondoScale	NICHE Vlaanderen	100			100	1				yes
IV2013091013523934	LondoScale	NICHE Vlaanderen	100			100					yes
IV2013091014075378	LondoScale	NICHE Vlaanderen	100			100					yes
IV2013091014264293	LondoScale	NICHE Vlaanderen	100			100					yes
IV2013091014433694	LondoScale	NICHE Vlaanderen	100			95					yes
IV2013091014550635	LondoScale	NICHE Vlaanderen	100			100					yes
