id	type	language	license	rightsHolder	accessRights	datasetID	datasetName	ownerInstitutionCode	eventID	parentEventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	eventDate	verbatimEventDate	locationID	continent	countryCode	stateProvince	county	municipality	verbatimLocality	locationAccordingTo	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters
IV2013082709405366	event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://dataset.inbo.be/Niche-Vlaanderen	InboVeg-niche-Vlaanderen	INBO	IV2013082709405366	IV2013082611560832	vegetationPlot- LONDO	100.0	m²	2002-05-21	2002-05-21/2002-05-21	MOLP022X	Europe	BE	Vlaams Gewest	Vlaams-Brabant	Veltem-Beisem	Molenbeekvallei	MILKLIM-Gebieden	176767.318	166595.354	Belgian Lambert 72	Belgium Datum 1972	50.90155	4.60340	WGS84	30
IV2013082710342834	event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://dataset.inbo.be/Niche-Vlaanderen	InboVeg-niche-Vlaanderen	INBO	IV2013082710342834	IV2013082611560832	vegetationPlot- LONDO	100.0	m²	2002-05-21	2002-05-21/2002-05-21	MOLP023X	Europe	BE	Vlaams Gewest	Vlaams-Brabant	Veltem-Beisem	Molenbeekvallei	MILKLIM-Gebieden	176753.004	166621.098	Belgian Lambert 72	Belgium Datum 1972	50.90142	4.60376	WGS84	30
IV2013082711032779	event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://dataset.inbo.be/Niche-Vlaanderen	InboVeg-niche-Vlaanderen	INBO	IV2013082711032779	IV2013082611560832	vegetationPlot- LONDO	100.0	m²	2002-05-21	2002-05-21/2002-05-21	MOLP024X	Europe	BE	Vlaams Gewest	Vlaams-Brabant	Veltem-Beisem	Molenbeekvallei	MILKLIM-Gebieden	176739.053	166641.152	Belgian Lambert 72	Belgium Datum 1972	50.90130	4.60405	WGS84	30
IV2013082714152313	event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://dataset.inbo.be/Niche-Vlaanderen	InboVeg-niche-Vlaanderen	INBO	IV2013082714152313	IV2013082611560832	vegetationPlot- LONDO	100.0	m²	2002-05-21	2002-05-21/2002-05-21	MOLP027X	Europe	BE	Vlaams Gewest	Vlaams-Brabant	Veltem-Beisem	Molenbeekvallei	MILKLIM-Gebieden	176693.351	166715.199	Belgian Lambert 72	Belgium Datum 1972	50.90088	4.60510	WGS84	30
IV2013082714514868	event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://dataset.inbo.be/Niche-Vlaanderen	InboVeg-niche-Vlaanderen	INBO	IV2013082714514868	IV2013082611560832	vegetationPlot- LONDO	9.0	m²	2002-05-21	2002-05-21/2002-05-21	MOLP003X	Europe	BE	Vlaams Gewest	Vlaams-Brabant	Veltem-Beisem	Molenbeekvallei	MILKLIM-Gebieden	176917.512	166747.408	Belgian Lambert 72	Belgium Datum 1972	50.90290	4.60556	WGS84	30
IV2013082715212212	event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://dataset.inbo.be/Niche-Vlaanderen	InboVeg-niche-Vlaanderen	INBO	IV2013082715212212	IV2013082611560832	vegetationPlot- LONDO	9.0	m²	2002-05-21	2002-05-21/2002-05-21	MOLP004X	Europe	BE	Vlaams Gewest	Vlaams-Brabant	Veltem-Beisem	Molenbeekvallei	MILKLIM-Gebieden	176916.206	166763.272	Belgian Lambert 72	Belgium Datum 1972	50.90288	4.60579	WGS84	30
IV2013082716353292	event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://dataset.inbo.be/Niche-Vlaanderen	InboVeg-niche-Vlaanderen	INBO	IV2013082716353292	IV2013082611560832	vegetationPlot- LONDO	9.0	m²	2002-05-21	2002-05-21/2002-05-21	MOLP012X	Europe	BE	Vlaams Gewest	Vlaams-Brabant	Veltem-Beisem	Molenbeekvallei	MILKLIM-Gebieden	176913.925	166789.137	Belgian Lambert 72	Belgium Datum 1972	50.90286	4.60616	WGS84	30
IV2013082716532472	event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://dataset.inbo.be/Niche-Vlaanderen	InboVeg-niche-Vlaanderen	INBO	IV2013082716532472	IV2013082611560832	vegetationPlot- LONDO	9.0	m²	2002-05-21	2002-05-21/2002-05-21	MOLP014X	Europe	BE	Vlaams Gewest	Vlaams-Brabant	Veltem-Beisem	Molenbeekvallei	MILKLIM-Gebieden	176911.744	166813.325	Belgian Lambert 72	Belgium Datum 1972	50.90284	4.60650	WGS84	30
IV2013082908555841	event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://dataset.inbo.be/Niche-Vlaanderen	InboVeg-niche-Vlaanderen	INBO	IV2013082908555841	IV2013082611560832	vegetationPlot- LONDO	100.0	m²	2002-05-22	2002-05-22/2002-05-22	MOLP018X	Europe	BE	Vlaams Gewest	Vlaams-Brabant	Veltem-Beisem	Molenbeekvallei	MILKLIM-Gebieden	177145.348	167135.530	Belgian Lambert 72	Belgium Datum 1972	50.90494	4.61109	WGS84	30
IV2013082910203131	event	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	http://www.inbo.be/en/norms-for-data-use	http://dataset.inbo.be/Niche-Vlaanderen	InboVeg-niche-Vlaanderen	INBO	IV2013082910203131	IV2013082611560832	vegetationPlot- LONDO	9.0	m²	2002-05-22	2002-05-22/2002-05-22	MOLP028X	Europe	BE	Vlaams Gewest	Vlaams-Brabant	Veltem-Beisem	Molenbeekvallei	MILKLIM-Gebieden	177024.819	166979.826	Belgian Lambert 72	Belgium Datum 1972	50.90386	4.60887	WGS84	30
